algorithm,elapsed,score,win
minimax with alpha-beta pruning,23.7209556,-194,False
expectimax,14.1975969,455,True
player,11.0179054,487,True
a_star,4.8865232,490,True
minimax with alpha-beta pruning,15.634229999999999,855,True
minimax with alpha-beta pruning,27.293933199999998,373,True
minimax with alpha-beta pruning,35.6528804,-669,False
expectimax,9.5355992,479,True
expectimax,10.6019674,-559,False
player,22.5871112,424,True
player,27.1752001,1529,True
player,26.4841035,1736,True
minimax with alpha-beta pruning,98.021645,213,False
minimax with alpha-beta pruning,6.993217,-535,False
minimax with alpha-beta pruning,12.1176806,-538,False
minimax with alpha-beta pruning,7.4811456,-530,False
minimax with alpha-beta pruning,9.866543100000001,-534,False
expectimax,4.3565621000000005,-524,False
expectimax,7.6881536,508,True
expectimax,7.1251997000000005,-528,False
expectimax,15.0978808,-570,False
expectimax,9.7566294,-523,False
a_star,38.9108235,1361,True
a_star,7.492185200000001,487,True
a_star,9.4810846,487,True
expectimax,10.1956487,478,True
expectimax,12.9722206,-358,False
expectimax,16.672716899999998,-365,False
minimax with alpha-beta pruning,5.5958044,-529,False
minimax with alpha-beta pruning,21.782631000000002,421,True
minimax with alpha-beta pruning,14.7278471,-556,False
minimax with alpha-beta pruning,6.8300203,-526,False
expectimax,5.7455437,-519,False
expectimax,19.260862799999998,-582,False
expectimax,19.391907,-588,False
expectimax,4.9955237,-529,False
expectimax,5.977657000000001,-518,False
expectimax,3.4513350000000003,-512,False
a_star,7.946650299999999,-542,False
a_star,31.8467577,-685,False
a_star,23.6543545,321,True
a_star,10.0019937,472,True
a_star,4.9373659,-525,False
a_star,5.2695775,720,True
player,7.264784500000001,698,True
player,2.1963251,-482,False
player,21.5901157,423,True
a_star,8.2291046,-516,False
player,7.4667546,-533,False
expectimax,22.131550999999998,-587,False
expectimax,10.2633149,-534,False
expectimax,2.418335,-503,False
minimax with alpha-beta pruning,12.3918638,-543,False
minimax with alpha-beta pruning,12.7864249,-535,False
minimax with alpha-beta pruning,5.7464108000000005,-328,False
player,16.5871055,662,True
player,2.65903,-303,False
player,11.3792389,-340,False
minimax with alpha-beta pruning,18.23423423,567,True
expectimax,23.3935592,-232,False
